Year,Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP,PICTURE,
2007,30,30,PHI,Petteri Koponen,,,,,,,,,,,,,,,,,,,,
2008,1,1,CHI,Derrick Rose,University of Memphis,7,359,12735,7172,1331,2311,0.448,0.3,0.812,35.5,20,3.7,6.4,30.8,0.116,1.4,11,http://d2cwpp38twqe55.cloudfront.net/images-011/players/rosede01.png,
2008,2,2,MIA,Michael Beasley,Kansas State University,7,433,10675,5628,2096,571,0.45,0.343,0.759,24.7,13,4.8,1.3,10.2,0.046,-3.5,-4,http://d2cwpp38twqe55.cloudfront.net/images-011/players/beaslmi01.png,
2008,3,3,MIN,O.J. Mayo,University of Southern California,8,520,16243,7398,1646,1532,0.431,0.375,0.822,31.2,14.2,3.2,2.9,22.2,0.066,-0.6,5.6,http://d2cwpp38twqe55.cloudfront.net/images-011/players/mayooj01.png,
2008,4,4,SEA,Russell Westbrook,University of California Los Angeles,8,531,18066,11346,2838,3849,0.433,0.305,0.82,34,21.4,5.3,7.2,57.9,0.154,4.7,30.7,http://d2cwpp38twqe55.cloudfront.net/images-011/players/westbru01.png,
2008,5,5,MEM,Kevin Love,University of California Los Angeles,8,461,15196,8608,5427,1120,0.448,0.364,0.815,33,18.7,11.8,2.4,58.6,0.185,3.3,20.5,http://d2cwpp38twqe55.cloudfront.net/images-011/players/loveke01.png,
2008,6,6,NYK,Danilo Gallinari,,7,367,11155,5280,1694,687,0.415,0.367,0.856,30.4,14.4,4.6,1.9,30.5,0.131,1.1,8.8,http://d2cwpp38twqe55.cloudfront.net/images-011/players/gallida01.png,
2008,7,7,LAC,Eric Gordon,Indiana University,8,395,13441,6616,1002,1313,0.435,0.38,0.811,34,16.7,2.5,3.3,21,0.075,-0.5,5,http://d2cwpp38twqe55.cloudfront.net/images-011/players/gordoer01.png,
2008,8,8,MIL,Joe Alexander,West Virginia University,2,67,745,282,120,44,0.41,0.34,0.698,11.1,4.2,1.8,0.7,0.5,0.03,-3.3,-0.2,http://d2cwpp38twqe55.cloudfront.net/images-011/players/alexajo01.png,
2008,9,9,CHA,D.J. Augustin,University of Texas at Austin,8,535,13068,5255,977,2131,0.403,0.373,0.87,24.4,9.8,1.8,4,27.8,0.102,-1.4,1.9,http://d2cwpp38twqe55.cloudfront.net/images-011/players/augusdj01.png,
2008,10,10,NJN,Brook Lopez,Stanford University,8,437,14211,7850,3217,581,0.51,0.05,0.794,32.5,18,7.4,1.3,40.5,0.137,0.7,9.8,http://d2cwpp38twqe55.cloudfront.net/images-011/players/lopezbr01.png,
2008,11,11,IND,Jerryd Bayless,University of Arizona,8,477,9924,4041,996,1396,0.414,0.355,0.826,20.8,8.5,2.1,2.9,16.2,0.078,-1.7,0.7,http://d2cwpp38twqe55.cloudfront.net/images-011/players/bayleje01.png,
2008,12,12,SAC,Jason Thompson,Rider University,8,553,14417,5080,3769,613,0.496,0.037,0.655,26.1,9.2,6.8,1.1,22.3,0.074,-1.7,1,http://d2cwpp38twqe55.cloudfront.net/images-011/players/thompja02.png,
2008,13,13,POR,Brandon Rush,University of Kansas,8,379,8708,2828,1179,377,0.431,0.404,0.707,23,7.5,3.1,1,9.3,0.051,-1.7,0.6,http://d2cwpp38twqe55.cloudfront.net/images-011/players/rushbr01.png,
2008,14,14,GSW,Anthony Randolph,Louisiana State University,6,252,3841,1789,1078,187,0.453,0.241,0.74,15.2,7.1,4.3,0.7,5.8,0.072,-2.1,-0.1,http://d2cwpp38twqe55.cloudfront.net/images-011/players/randoan01.png,
2008,15,15,PHO,Robin Lopez,Stanford University,8,490,10460,3981,2486,279,0.528,0,0.762,21.3,8.1,5.1,0.6,29,0.133,0.5,6.6,http://d2cwpp38twqe55.cloudfront.net/images-011/players/lopezro01.png,
2008,16,16,PHI,Marreese Speights,University of Florida,8,520,8050,4066,2193,309,0.468,0.233,0.785,15.5,7.8,4.2,0.6,19.1,0.114,-3.5,-2.9,http://d2cwpp38twqe55.cloudfront.net/images-011/players/speigma01.png,
2008,17,17,TOR,Roy Hibbert,Georgetown University,8,557,14485,6092,3780,809,0.464,0.25,0.753,26,10.9,6.8,1.5,33,0.109,0.5,9,http://d2cwpp38twqe55.cloudfront.net/images-011/players/hibbero01.png,
2008,18,18,WAS,JaVale McGee,University of Nevada Reno,8,388,7659,3248,2129,135,0.541,0.2,0.585,19.7,8.4,5.5,0.3,18.6,0.117,-0.8,2.3,http://d2cwpp38twqe55.cloudfront.net/images-011/players/mcgeeja01.png,
2008,19,19,CLE,J.J. Hickson,North Carolina State University,8,516,11781,5009,3589,442,0.505,0,0.622,22.8,9.7,7,0.9,21.7,0.088,-2.3,-0.8,http://d2cwpp38twqe55.cloudfront.net/images-011/players/hicksjj01.png,
2008,20,20,CHA,Alexis Ajinca,,6,214,2714,1102,786,107,0.516,0.324,0.802,12.7,5.1,3.7,0.5,6,0.105,-1.7,0.2,http://d2cwpp38twqe55.cloudfront.net/images-011/players/ajincal01.png,
2008,21,21,NJN,Ryan Anderson,University of California,8,439,11264,5592,2441,389,0.424,0.378,0.858,25.7,12.7,5.6,0.9,34.3,0.146,1.4,9.7,http://d2cwpp38twqe55.cloudfront.net/images-011/players/anderry01.png,
2008,22,22,ORL,Courtney Lee,Western Kentucky University,8,546,14770,5254,1419,843,0.448,0.38,0.851,27.1,9.6,2.6,1.5,26.8,0.087,-0.2,6.7,http://d2cwpp38twqe55.cloudfront.net/images-011/players/leeco01.png,
2008,23,23,UTA,Kosta Koufos,Ohio State University,8,448,7025,2487,2140,163,0.529,0,0.617,15.7,5.6,4.8,0.4,19.2,0.131,-0.7,2.4,http://d2cwpp38twqe55.cloudfront.net/images-011/players/koufoko01.png,
2008,24,24,SEA,Serge Ibaka,,7,470,13376,5384,3514,264,0.53,0.372,0.744,28.5,11.5,7.5,0.6,44.1,0.158,1.1,10.3,http://d2cwpp38twqe55.cloudfront.net/images-011/players/ibakase01.png,
2008,25,25,HOU,Nicolas Batum,,8,504,15622,5780,2587,1554,0.444,0.364,0.836,31,11.5,5.1,3.1,39.6,0.122,3.1,19.9,http://d2cwpp38twqe55.cloudfront.net/images-011/players/batumni01.png,
2008,26,26,SAS,George Hill,Indiana University-Purdue University Indianapolis,8,495,13950,5552,1538,1607,0.45,0.372,0.804,28.2,11.2,3.1,3.2,43.2,0.149,2,14.1,http://d2cwpp38twqe55.cloudfront.net/images-011/players/hillge01.png,
2008,27,27,NOH,Darrell Arthur,University of Kansas,7,394,7068,2578,1428,281,0.442,0.291,0.758,17.9,6.5,3.6,0.7,9.6,0.065,-2.2,-0.4,http://d2cwpp38twqe55.cloudfront.net/images-011/players/arthuda01.png,
2008,28,28,MEM,Donte Greene,Syracuse University,4,253,4259,1541,600,183,0.406,0.304,0.701,16.8,6.1,2.4,0.7,1.5,0.017,-3.8,-2,http://d2cwpp38twqe55.cloudfront.net/images-011/players/greendo01.png,
2008,29,29,DET,D.J. White,Indiana University,6,138,2111,810,437,80,0.507,0.333,0.72,15.3,5.9,3.2,0.6,3.8,0.087,-3.3,-0.7,,
2008,30,30,BOS,J.R. Giddens,University of New Mexico,2,38,247,73,54,13,0.476,0,0.565,6.5,1.9,1.4,0.3,0.1,0.027,-4.6,-0.2,,
2009,1,1,LAC,Blake Griffin,University of Oklahoma,6,399,14143,8625,3848,1598,0.523,0.267,0.66,35.4,21.6,9.6,4,54.4,0.184,4.2,22.3,http://d2cwpp38twqe55.cloudfront.net/images-011/players/griffbl01.png,
2009,2,2,MEM,Hasheem Thabeet,University of Connecticut,5,224,2357,483,595,27,0.567,,0.578,10.5,2.2,2.7,0.1,4.8,0.099,-1.4,0.4,http://d2cwpp38twqe55.cloudfront.net/images-011/players/thabeha01.png,
2009,3,3,OKC,James Harden,Arizona State University,7,476,15546,9584,2085,2170,0.441,0.366,0.855,32.7,20.1,4.4,4.6,66.6,0.206,5,27.5,http://d2cwpp38twqe55.cloudfront.net/images-011/players/hardeja01.png,
